,Unnamed: 0,villeID,size,lat,long
98006,98006,Saint-Cyr-sur-Mer,12185,43.18048,5.7012
98007,98007,Saint-Cyr-l'École,16365,48.79865,2.06814
98015,98015,Rueil-Malmaison,76616,48.8765,2.18967
98030,98030,Porto-Vecchio,11820,41.59101,9.27947
98033,98033,Poitiers,85960,46.58261,0.34348
98034,98034,Poissy,36431,48.92902,2.04952
98039,98039,Plérin,13860,48.53451,-2.76975
98053,98053,Noyon,15138,49.58333,3.0
98058,98058,Nantes,318808,47.21725,-1.55336
98072,98072,Mauguio,18320,43.61692,4.00739
98092,98092,Le Perreux-sur-Marne,32015,48.85,2.5
98130,98130,Casteldaccia,10091,38.05121,13.53041
98135,98135,Barrafranca,13397,37.3785,14.2027
98140,98140,Viterbo,47134,42.41937,12.1056
98158,98158,Torre Annunziata,43521,40.75337,14.45251
98160,98160,Surbo,11363,40.39383,18.13456
98165,98165,Somma Vesuviana,32484,40.87329,14.43865
98170,98170,Sestri Levante,16963,44.27317,9.39683
98190,98190,San Bonifacio,17347,45.39595,11.27352
98193,98193,Samarate,14172,45.6241,8.78507
98220,98220,Piove di Sacco-Piovega,13287,45.29665,12.03683
98221,98221,Pinerolo,30866,44.88534,7.33135
98237,98237,Orta Nova,16677,41.32879,15.70994
98239,98239,Oleggio,12655,45.59674,8.64213
98251,98251,Massafra,30875,40.58618,17.11635
98256,98256,Maniago,10395,46.16644,12.70602
98268,98268,Lainate,25011,45.57176,9.02681
98273,98273,Pallanza-Intra-Suna,28911,45.93778,8.57088
98277,98277,Gricignano di Aversa,10559,40.97973,14.23087
98294,98294,Fagnano Olona-Bergoro,11906,45.66977,8.85994
98304,98304,Cremona,71223,45.13325,10.02129
98307,98307,Cornaredo,20098,45.50128,9.02681
98320,98320,Cittadella,14421,45.64523,11.78453
98332,98332,Castellanza,14223,45.61079,8.89616
98337,98337,Casamassima,18380,40.95653,16.92075
98342,98342,Cardito,22239,40.9459,14.29952
98358,98358,Bitritto,10773,41.04336,16.82682
98363,98363,Barra,36642,40.84255,14.31849
98364,98364,Baronissi,12383,40.74817,14.7738
98368,98368,Bagnolo Mella,11871,45.42765,10.18638
98482,98482,Casal Bertone,16273,41.89821,12.53413
98526,98526,Split,149830,43.50891,16.43915
98531,98531,Petrinja,12963,45.4375,16.29
98559,98559,Törökszentmiklós,22770,47.18333,20.41667
98567,98567,Karcag,22370,47.31667,20.93333
98579,98579,Pilisvörösvár,14274,47.61386,18.90893
98580,98580,Nagykőrös,23517,47.03419,19.77857
98587,98587,Kiskunmajsa,11955,46.49028,19.74
98589,98589,Dabas,16590,47.18594,19.31091
98594,98594,Balatonfüred,13138,46.96188,17.87187
98595,98595,Budapest II. kerület,88729,47.51984,19.02218
98676,98676,Marino,11023,53.37022,-6.23646
98677,98677,Ennis,25276,52.84361,-8.98639
98679,98679,Balbriggan,21722,53.60846,-6.1831
98680,98680,Foxrock,12870,53.26667,-6.17417
98784,98784,Albert,10588,50.00091,2.65096
98787,98787,Marseille 02,25779,43.29664,5.37034
98788,98788,Marseille 05,44583,43.29551,5.40055
98789,98789,Marseille 15,77770,43.37224,5.35386
98792,98792,Woking,103932,51.31903,-0.55893
98800,98800,Wellington,22816,52.7,-2.51667
98802,98802,Wath upon Dearne,17161,53.50291,-1.3458
98805,98805,Walton-on-Thames,22834,51.38678,-0.41319
98808,98808,Upper Norwood,16082,51.41505,-0.0927
98811,98811,Timperley,11049,53.4,-2.33333
98814,98814,Tewkesbury,19778,51.99244,-2.1601
98828,98828,Skipton,14623,53.96144,-2.01676
98830,98830,Sheerness,11938,51.44042,0.76252
98832,98832,Sandhurst,20803,51.34675,-0.78655
98836,98836,Rickmansworth,12043,51.63898,-0.47718
98847,98847,Newton-le-Willows,21782,53.45,-2.6
98848,98848,Newport Pagnell,15067,52.08731,-0.72218
98864,98864,Leek,19903,53.10434,-2.02207
98866,98866,Kippax,15965,53.76687,-1.37099
98870,98870,Kidbrooke,14300,51.46723,0.02708
98880,98880,Hayes,50000,51.51579,-0.4234
98881,98881,Haydock,17333,53.46723,-2.68166
