,Unnamed: 0,villeID,size,lat,long
94948,94948,Butubré I,13344,5.51071,-6.44838
94959,94959,Bandiay,8575,7.2,-6.18333
94964,94964,Amoriki,6420,7.08793,-4.16155
94967,94967,Akoudzin,5937,6.02639,-3.98333
94970,94970,Abidjan,6321017,5.35444,-4.00167
94973,94973,Mantongouiné,5553,7.28782,-8.03824
94974,94974,Mborou,7388,5.59474,-4.36334
94977,94977,Loboville,16006,6.13656,-6.84096
94982,94982,Bakro,5102,5.50681,-3.2455
94988,94988,Niorouhio,6935,5.76837,-6.12006
94989,94989,Gnagboya,9279,6.07877,-6.93104
95001,95001,Pissékou,6047,6.28651,-5.82015
95049,95049,Wote,19725,-1.78079,37.62882
95050,95050,Mombasa,1208333,-4.05466,39.66359
95051,95051,Elburgon,28359,-0.30037,35.80935
95052,95052,Siaya,33153,0.0607,34.28806
95062,95062,Fomboni,17291,-12.28759,43.74344
95083,95083,Al Wafrah,10017,28.63917,47.93056
95084,95084,Al Faḩāḩīl,68290,29.0825,48.13028
95102,95102,Ra’s Bayrūt,1251739,33.9,35.48333
95108,95108,Pleebo City,35423,4.58953,-7.67218
95128,95128,Al Bayḑā’,129439,32.76272,21.75506
95129,95129,Ajdabiya,131773,30.75545,20.22625
95130,95130,Tamzāwah,7410,27.57154,14.20234
95131,95131,Qaşr Khiyār,16708,32.69677,13.84634
95132,95132,Nālūt,28431,31.86848,10.9812
95133,95133,Tāzirbū,8085,25.67289,21.07286
95135,95135,Sidi Qacem,74755,34.22149,-5.70775
95147,95147,Tsiroanomandidy,47087,-18.76969,46.04653
95148,95148,Sakaraha,21826,-22.9,44.53333
95149,95149,Marovoay,41611,-16.11064,46.64383
95150,95150,Beroroha,18632,-21.66667,45.16667
95164,95164,Ménaka,9110,15.9182,2.4022
95165,95165,Kolokani,48774,13.5728,-8.0339
95166,95166,Kangaba,17232,11.93333,-8.41667
95528,95528,Xai-Xai,127366,-25.05194,33.64417
95529,95529,Rundu,58172,-17.91796,19.77314
