,villeID,size,lat,long
0,Mons,95299,50.45413,3.95229
1,Namur,110939,50.4669,4.86746
2,Liège,195278,50.63373,5.56749
3,Arlon,26179,49.68333,5.81667
4,Wavre,34305,50.71717,4.60138
5,LLN,29521,50.66829,4.61443
6,Brussels,1019022,50.85045,4.34878
7,Antwerpen,529247,51.22047,4.40026
8,Hasselt,77651,50.93106,5.33781
9,Gent,265086,51.05,3.71667
10,Brugge,118509,51.20892,3.22424
11,Leuven,101032,50.87959,4.70093
