,Unnamed: 0,villeID,size,lat,long
134,134,Oxford,1141,40.51976,-87.24779
135,135,Upland,3785,40.4756,-85.49442
136,136,Walkerton,2264,41.46671,-86.48307
137,137,Agawam,28761,42.06954,-72.61481
138,138,Bondsville,1812,42.21259,-72.34536
139,139,Centerville,9190,41.64872,-70.34808
140,140,Cohasset,7388,42.24177,-70.80365
141,141,Cordaville,2650,42.26898,-71.52395
142,142,East Bridgewater,14021,42.03343,-70.95921
143,143,Fitchburg,40545,42.58342,-71.8023
144,144,Framingham Center,65413,42.29732,-71.43701
145,145,Oakham,1702,42.35287,-72.04535
146,146,Onset,1573,41.74177,-70.65781
147,147,Plympton,2683,41.95288,-70.81448
148,148,Provincetown,2642,42.05295,-70.1864
149,149,Sherborn,4273,42.23899,-71.36978
150,150,Westborough,4045,42.26954,-71.61618
151,151,Winchester,21374,42.45232,-71.137
152,152,Yarmouth Port,5320,41.70205,-70.24947
153,153,Belfast,6682,44.42591,-69.00642
154,154,Belgrade,3096,44.44729,-69.83255
155,155,Denmark,1044,43.97035,-70.8034
156,156,Hiram,1479,43.87868,-70.8034
157,157,Kittery,4562,43.08814,-70.73616
158,158,Limestone,1075,46.90866,-67.82585
159,159,Mechanic Falls,2237,44.11174,-70.39172
160,160,Patten,1155,45.99644,-68.44614
161,161,Poland,5314,44.06063,-70.39367
162,162,South Berwick,7480,43.23453,-70.8095
163,163,Veazie,1813,44.83868,-68.70531
164,164,Buena Vista,6816,43.4203,-83.89858
165,165,Fennville,1400,42.59392,-86.1017
166,166,Grosse Pointe Woods,15762,42.44365,-82.90686
167,167,Hudson,2241,41.85505,-84.35384
168,168,Novi,58723,42.48059,-83.47549
169,169,Roosevelt Park,3821,43.1964,-86.27228
170,170,Spring Lake,2480,43.07696,-86.197
171,171,Springfield,5192,42.32643,-85.23916
172,172,Standish,1452,43.98308,-83.95888
173,173,Trenton,18380,42.13949,-83.17826
174,174,White Cloud,1383,43.5503,-85.772
175,175,Zeeland,5626,42.81252,-86.01865
176,176,Ada,1656,47.29969,-96.51535
177,177,Appleton,1341,45.19691,-96.01977
178,178,Bagley,1394,47.52162,-95.39835
179,179,Blaine,62124,45.1608,-93.23495
180,180,Branch,2696,45.48524,-92.96188
181,181,Brooklyn Park,79149,45.09413,-93.35634
182,182,Dassel,1437,45.08163,-94.30693
183,183,Eagle Lake,2841,44.16497,-93.88134
184,184,Excelsior,2279,44.9033,-93.56635
185,185,Hoyt Lakes,2004,47.51965,-92.13851
186,186,Lake Elmo,8406,44.9958,-92.87938
187,187,Lakefield,1656,43.67746,-95.17166
188,188,Minnetrista,7178,44.9383,-93.71774
189,189,Northfield,20380,44.4583,-93.1616
190,190,Renville,1213,44.78913,-95.21167
191,191,Saint Michael,16399,45.20996,-93.66496
192,192,Saint Paul,285068,44.94441,-93.09327
193,193,Stewartville,6037,43.85552,-92.48851
194,194,Maryville,11879,40.3461,-94.87247
195,195,Unionville,1815,40.47696,-93.00326
197,197,La Vista,16921,41.18389,-96.03113
198,198,Shelton,1064,40.77918,-98.73091
199,199,South Sioux City,13319,42.47388,-96.41364
200,200,Bedford,21188,42.94647,-71.5159
201,201,Derry,22015,42.88064,-71.32729
202,202,Enfield,1540,43.64063,-72.14398
203,203,Nottingham,3942,43.11453,-71.09978
204,204,Pembroke,7461,43.14675,-71.45757
205,205,Stratford,1003,44.65505,-71.55564
206,206,Bloomingdale,8215,41.00204,-74.32654
207,207,Brielle,4757,40.10789,-74.05653
208,208,Cedar Glen West,1267,40.04206,-74.29265
209,209,Cranford,22627,40.65844,-74.29959
210,210,Dayton,7063,40.37261,-74.51015
211,211,East Newark,2406,40.74843,-74.16181
212,212,Fairview,14451,40.8126,-73.99903
213,213,Garfield,31802,40.88149,-74.1132
214,214,Mendham,5001,40.77593,-74.60071
215,215,Oradell,8218,40.95871,-74.03681
216,216,Plainsboro Center,2712,40.33177,-74.5946
217,217,South Belmar,1789,40.17095,-74.02736
218,218,South Old Bridge,23233,40.40816,-74.35432
219,219,Strathmore,7258,40.39594,-74.21348
220,220,Alden,2589,42.90006,-78.49197
221,221,Arlington,4061,41.69593,-73.8968
222,222,Armonk,4330,41.12648,-73.71402
223,223,Blue Point,4773,40.74399,-73.03455
224,224,Bridgeport,1479,42.9159,-76.75245
225,225,Brookhaven,3451,40.77927,-72.91538
226,226,Brookville,3566,40.81316,-73.56735
227,227,Brownville,1156,44.007,-75.98409
228,228,Carmel,4800,41.43009,-73.68013
229,229,Chadwicks,1506,43.02785,-75.27155
230,230,Chestnut Ridge,8158,41.08426,-74.0557
231,231,Crown Heights,2840,41.63732,-73.93792
232,232,Gouverneur,3797,44.33673,-75.46299
233,233,Greenville,7116,40.99315,-73.81986
234,234,Hell's Kitchen,45884,40.76496,-73.9909
235,235,Honeoye Falls,2711,42.95229,-77.59028
236,236,Lakeview,5625,42.43202,-75.86547
237,237,Lincoln Park,2366,41.95065,-73.99403
238,238,Marlboro,3669,41.60565,-73.97153
239,239,Montour Falls,1676,42.3473,-76.84524
240,240,Nedrow,2244,42.97507,-76.14131
241,241,Niagara Falls,48916,43.0945,-79.05671
242,242,North Hills,5444,40.78093,-73.67652
243,243,Northville,1065,43.22563,-74.17208
244,244,Peekskill,24043,41.29009,-73.92042
245,245,Port Chester,29620,41.00176,-73.66568
246,246,Port Morris,1978,40.80149,-73.90958
247,247,Poughkeepsie,30371,41.70037,-73.92097
248,248,Roslyn Harbor,1093,40.81649,-73.63707
249,249,Schenectady,65305,42.81424,-73.93957
251,251,South Huntington,9422,40.82371,-73.39873
252,252,Southport,7238,42.0548,-76.81912
253,253,Staten Island,468730,40.56233,-74.13986
254,254,University Gardens,4226,40.77732,-73.72263
255,255,Viola,6868,41.13648,-74.08236
256,256,Wanakah,3199,42.74617,-78.90309
257,257,Warwick,6823,41.25648,-74.35988
258,258,West End,1940,42.46869,-75.09378
259,259,West Henrietta,11691,43.04006,-77.66167
260,260,Williamsburg,33000,40.71427,-73.95347
261,261,Apple Creek,1184,40.75172,-81.8393
262,262,Bellville,1871,40.62006,-82.51072
263,263,Columbus Grove,2063,40.9195,-84.05689
264,264,Crestline,4438,40.78756,-82.73657
265,265,Creston,2181,40.987,-81.89375
266,266,Danville,1018,40.44756,-82.26016
267,267,Fairview Park,16407,41.44144,-81.8643
268,268,Frazeysburg,1322,40.11729,-82.11931
269,269,Holgate,1096,41.24894,-84.133
270,270,Lorain,63647,41.45282,-82.18237
271,271,Lowellville,1107,41.03534,-80.53646
272,272,Mentor-on-the-Lake,7443,41.70504,-81.36039
273,273,Millbury,1249,41.56616,-83.42465
274,274,Mineral Ridge,3892,41.14006,-80.76897
275,275,Newburgh Heights,2096,41.45005,-81.66346
276,276,North Kingsville,2839,41.90589,-80.69036
277,277,Plain City,4302,40.10756,-83.26742
278,278,Pleasant Hill,1219,40.05172,-84.34439
279,279,Willoughby Hills,9382,41.59838,-81.41845
280,280,Annville,4767,40.32954,-76.51524
281,281,Arlington Heights,6333,40.99009,-75.21629
282,282,Aspinwall,2763,40.49146,-79.90477
283,283,Avon,1667,40.34565,-76.38996
284,284,Bainbridge,1355,40.09093,-76.66747
285,285,Bellwood,1828,40.6034,-78.32474
286,286,Cambridge Springs,2538,41.80367,-80.05644
287,287,Donora,4663,40.1734,-79.85755
288,288,Dresher,5610,40.14094,-75.16684
289,289,East Washington,1966,40.17368,-80.23756
290,290,Franklin Park,14415,40.5834,-80.08784
291,291,Homestead,3114,40.4059,-79.91199
292,292,Inkerman,1819,41.29897,-75.81269
293,293,Lawson Heights,2194,40.29174,-79.3892
294,294,Lemoyne,4636,40.2412,-76.89414
295,295,Lewisburg,5774,40.96453,-76.88441
296,296,Lincoln Park,1615,40.31481,-75.98549
297,297,Marienville,3137,41.46895,-79.1231
298,298,Maytown,3824,40.07537,-76.58219
299,299,Middletown,7441,40.64399,-75.3324
300,300,Munhall,11247,40.39229,-79.90005
301,301,Northumberland,3728,40.89175,-76.79747
302,302,Oakdale,1470,40.39812,-80.18561
303,303,Pennside,4215,40.33732,-75.87854
304,304,Punxsutawney,5861,40.94368,-78.97087
305,305,Saylorsburg,1126,40.89565,-75.32352
306,306,Shamokin Dam,1706,40.8487,-76.81969
307,307,Sugarcreek,5120,41.42145,-79.88117
308,308,West Norriton,14702,40.12955,-75.37852
309,309,Wyndmoor,5498,40.08122,-75.18934
310,310,Tiverton,7557,41.62594,-71.21338
311,311,Britton,1242,45.79162,-97.75094
314,314,Essex Junction,10111,44.49061,-73.11096
315,315,Belgium,2261,43.49972,-87.85037
316,316,Hales Corners,7759,42.93751,-88.0487
317,317,Kimberly,6744,44.27221,-88.339
318,318,Lodi,3052,43.31388,-89.52651
319,319,Lomira,2384,43.59138,-88.44371
320,320,Medford,4338,45.13858,-90.34014
321,321,Menomonie,16305,44.87552,-91.91934
322,322,Salem,11416,42.55474,-88.11092
323,323,Seymour,1418,44.82663,-91.43127
324,324,Thiensville,3174,43.23751,-87.9787
325,325,Waupaca,6014,44.35803,-89.08595
326,326,Winneconne,2445,44.11082,-88.71261
327,327,Wittenberg,1022,44.8272,-89.16956
328,328,Woodville,1339,44.95302,-92.2913
329,329,Ansonia,18854,41.34621,-73.079
644,644,Brookwood,1822,33.25567,-87.32083
645,645,Decatur,55437,34.60593,-86.98334
646,646,Fort Payne,14150,34.44425,-85.71969
647,647,Holt,3638,33.23401,-87.48445
648,648,North Bibb,1013,33.20401,-87.15305
649,649,Prattville,35420,32.46402,-86.4597
650,650,Reform,1632,33.37845,-88.0153
651,651,Smoke Rise,1825,33.89177,-86.82027
652,652,Southside,8572,33.92454,-86.02247
653,653,Spanish Fort,8065,30.67491,-87.91527
654,654,Tuscaloosa,98332,33.20984,-87.56917
655,655,Vandiver,1135,33.47066,-86.51332
656,656,York,2399,32.48625,-88.29642
657,657,Clarendon,1504,34.69315,-91.31374
658,658,Danville,2350,35.05398,-93.39352
659,659,Dumas,4323,33.88705,-91.49179
660,660,Horatio,1058,33.93845,-94.35715
661,661,Magnolia,11669,33.26707,-93.23933
662,662,North Crossett,3119,33.16568,-91.94152
663,663,West Fork,2543,35.92425,-94.18854
664,664,Clayton,3123,39.29067,-75.63437
665,665,Delmar,1730,38.45651,-75.57715
666,666,Wyoming,1465,39.11817,-75.55881
667,667,Astor,1556,29.16248,-81.52535
668,668,Belle Glade,18251,26.68451,-80.66756
669,669,Belleview,4765,29.05526,-82.06231
670,670,Brandon,103483,27.9378,-82.28592
671,671,Carol City,63031,25.94065,-80.2456
672,672,Carrabelle,2729,29.85326,-84.66435
673,673,Coral Springs,129485,26.27119,-80.2706
674,674,Coral Terrace,24376,25.74593,-80.3045
675,675,Country Walk,15997,25.63399,-80.43228
676,676,Dania Beach,31446,26.05231,-80.14393
677,677,Desoto Lakes,3646,27.37143,-82.48982
678,678,East Milton,11074,30.61519,-87.02163
679,679,Feather Sound,3420,27.90079,-82.67349
680,680,Forest City,13854,28.66678,-81.44334
681,681,Gladeview,11535,25.83926,-80.2356
682,682,Homosassa Springs,13791,28.80359,-82.57593
683,683,Lake Butler,1845,30.02274,-82.33956
684,684,Leisure City,26324,25.49539,-80.42922
685,685,Meadow Woods,25558,28.38556,-81.36646
686,686,Newberry,5564,29.64635,-82.6065
687,687,Nokomis,3167,27.11922,-82.44426
688,688,Norland,23604,25.94898,-80.21227
689,689,North Port,62345,27.04422,-82.23593
690,690,Oakland Park,44319,26.17231,-80.13199
691,691,Ormond Beach,40970,29.28581,-81.05589
692,692,Palm Beach Gardens,52923,26.82339,-80.13865
693,693,Parker,4603,30.13104,-85.60326
694,694,Quincy,7830,30.58714,-84.58325
695,695,Sanibel,7236,26.44897,-82.02231
696,696,Sneads,1776,30.70801,-84.92552
697,697,Southchase,15921,28.39306,-81.3834
698,698,Southgate,7173,27.3081,-82.50982
699,699,Taft,2205,28.42973,-81.36507
700,700,Tamarac,64681,26.21286,-80.24977
701,701,Tangelo Park,2231,28.45584,-81.4459
702,702,Twin Lakes,2073,26.18092,-80.16005
703,703,Winter Springs,34789,28.69889,-81.30812
704,704,Woodville,2978,30.31409,-84.2474
705,705,Bonanza,3135,33.46567,-84.33659
706,706,Cairo,9752,30.87751,-84.20214
707,707,Clayton,2234,34.87815,-83.40099
708,708,Demorest,2050,34.5651,-83.54517
709,709,Dock Junction,7721,31.20245,-81.51677
710,710,Griffin,23211,33.24678,-84.26409
711,711,Hamilton,1158,32.75791,-84.87493
712,712,Lincolnton,1479,33.79235,-82.47902
713,713,Lindale,4191,34.18676,-85.17467
714,714,Madison,4026,33.59568,-83.46794
715,715,Marietta,59067,33.9526,-84.54993
716,716,Palmetto,4733,33.51789,-84.66965
717,717,Pelham,3708,31.12802,-84.15304
718,718,Shannon,1654,33.40456,-84.46826
719,719,Sparks,1760,33.08793,-82.73764
720,720,Valdosta,55724,30.83334,-83.28032
721,721,Wrightsville,3642,32.72933,-82.71986
722,722,Young Harris,1325,34.93315,-83.84712
723,723,Atwood,1191,39.79948,-88.46228
724,724,Cairo,1733,37.00533,-89.17646
725,725,Lawrenceville,4427,38.72921,-87.68169
726,726,West Frankfort,8067,37.89783,-88.93146
727,727,Hagerstown,1728,39.91116,-85.16163
728,728,Oak Park,5209,38.30562,-85.69635
730,730,Elwood,1188,39.75555,-94.87247
731,731,Larned,3967,38.18057,-99.09871
732,732,Mulvane,6314,37.47446,-97.24393
733,733,Norton,2841,39.83389,-99.89151
734,734,Paola,5527,38.57224,-94.87913
735,735,Russell,4534,38.89527,-98.86103
736,736,Victoria,1226,38.85279,-99.1476
737,737,Albany,2012,36.6909,-85.13468
738,738,Brandenburg,2852,37.99896,-86.16941
740,740,Columbia,4644,37.10284,-85.30635
741,741,Hebron Estates,1145,38.04951,-85.66607
742,742,Lyndon,11372,38.25674,-85.60163
743,743,Oak Grove,7989,37.34421,-86.75471
744,744,Plano,1117,36.88032,-86.41832
745,745,Westwood,4746,38.48314,-82.66988
746,746,Bernice,1648,32.82209,-92.65793
747,747,Catahoula,1094,30.21464,-91.709
748,748,Church Point,4521,30.40298,-92.21513
749,749,Clinton,1577,30.86574,-91.01566
750,750,Eunice,10310,30.49437,-92.41763
751,751,Kentwood,2340,30.93824,-90.50898
752,752,Luling,12119,29.93215,-90.36647
753,753,Paulina,1178,30.02631,-90.71315
754,754,Port Barre,2119,30.5602,-91.95401
755,755,Ringgold,1432,32.32849,-93.27989
756,756,Zachary,16448,30.64852,-91.1565
757,757,Algonquin,1241,38.5829,-76.10577
758,758,Cloverly,15126,39.10816,-76.99775
759,759,Hillandale,6043,39.0265,-76.97414
760,760,Hunt Valley,23915,39.49983,-76.64108
761,761,Lusby,1835,38.41068,-76.45523
762,762,Oxon Hill,17722,38.80345,-76.9897
763,763,Solomons,2368,38.31846,-76.45412
764,764,Thurmont,6454,39.62371,-77.41082
765,765,Urbana,9175,39.32594,-77.35137
766,766,Westphalia,7266,38.84539,-76.81108
767,767,White Oak,17403,39.03983,-76.99303
768,768,Appleton City,1092,38.19058,-94.02939
769,769,Arnold,21357,38.43283,-90.37762
912,912,Koolbaai,6000,18.04048,-63.08397
